key,type,title,status,scheduled_for,account,source,notes,created_at
draft:103,draft/local,audit sample duplicate,ready,,,TiktokAutoUploader-main\VideosDirPath\ready-20260723-153435-audit-sample-duplicate.mp4,Created by Make It TikTok Ready package,2026-07-23T12:34:53.102403+00:00
asset:235,local_video,ready-20260723-153435-audit-sample-duplicate,ready,,,ready_package: TiktokAutoUploader-main\VideosDirPath\ready-20260723-153435-audit-sample-duplicate.mp4,Ready package generated,2026-07-23T12:34:50.635715+00:00
draft:102,draft/local,pre processed,ready,,,TiktokAutoUploader-main\VideosDirPath\ready-20260723-153419-pre-processed.mp4,Created by Make It TikTok Ready package,2026-07-23T12:34:34.945102+00:00
asset:183,local_video,ready-20260723-153419-pre-processed,ready,,,ready_package: TiktokAutoUploader-main\VideosDirPath\ready-20260723-153419-pre-processed.mp4,Ready package generated,2026-07-23T12:34:33.080664+00:00
asset:166,local_video,ready-20260723-153404-pre-processed,local,,,TiktokAutoUploader-main\VideosDirPath\ready-20260723-153404-pre-processed.mp4,,2026-07-23T12:34:18.161989+00:00
asset:144,local_video,branded-20260723-153356-pre-processed,local,,,TiktokAutoUploader-main\VideosDirPath\branded-20260723-153356-pre-processed.mp4,,2026-07-23T12:34:03.283283+00:00
asset:131,local_video,captioned-20260723-153348-pre-processed,local,,,TiktokAutoUploader-main\VideosDirPath\captioned-20260723-153348-pre-processed.mp4,,2026-07-23T12:33:55.239468+00:00
asset:123,local_video,watermarked-20260723-153341-pre-processed,local,,,TiktokAutoUploader-main\VideosDirPath\watermarked-20260723-153341-pre-processed.mp4,,2026-07-23T12:33:47.226355+00:00
draft:100,draft/idea,audit idea for phone repair,draft,,,audit idea for phone repair,,2026-07-23T12:33:36.773984+00:00
draft:70,draft/local,branded-20260723-144852-pre-processed,draft,,,TiktokAutoUploader-main\VideosDirPath\branded-20260723-144852-pre-processed.mp4,,2026-07-23T12:33:29.841158+00:00
draft:69,draft/local,watermarked-20260723-144853-pre-processed,draft,,,TiktokAutoUploader-main\VideosDirPath\watermarked-20260723-144853-pre-processed.mp4,,2026-07-23T12:33:29.832257+00:00
